PPM,Year,Degrees C
,1958,0.06
315.98,1959,0.03
316.91,1960,-0.03
317.64,1961,0.06
318.45,1962,0.03
318.99,1963,0.05
319.62,1964,-0.2
320.04,1965,-0.11
321.37,1966,-0.06
322.18,1967,-0.02
323.05,1968,-0.08
324.62,1969,0.05
325.68,1970,0.03
326.32,1971,-0.08
327.46,1972,0.01
329.68,1973,0.16
330.19,1974,-0.07
331.13,1975,-0.01
332.03,1976,-0.1
333.84,1977,0.18
335.41,1978,0.07
336.84,1979,0.16
338.76,1980,0.26
340.12,1981,0.32
341.48,1982,0.14
343.15,1983,0.31
344.87,1984,0.16
346.35,1985,0.12
347.61,1986,0.18
349.31,1987,0.32
351.69,1988,0.39
353.2,1989,0.27
354.45,1990,0.45
355.7,1991,0.4
356.54,1992,0.22
357.21,1993,0.23
358.96,1994,0.32
360.97,1995,0.45
362.74,1996,0.33
363.88,1997,0.46
366.84,1998,0.61
368.54,1999,0.38
369.71,2000,0.39
371.32,2001,0.53
373.45,2002,0.63
375.98,2003,0.62
377.7,2004,0.53
379.98,2005,0.67
382.09,2006,0.63
384.02,2007,0.66
385.83,2008,0.54
387.64,2009,0.65
390.1,2010,0.72
391.85,2011,0.61
394.06,2012,0.65
396.74,2013,0.67
398.81,2014,0.74
401.01,2015,0.89
404.41,2016,1.01
406.76,2017,0.92
408.72,2018,0.84
411.66,2019,0.97
414.24,2020,1.02
416.45,2021,0.84
