PPM,Degrees C,12
315.98,0.03,12.09
316.91,-0.03,12.06
317.64,0.06,12.12
318.45,0.03,12.15
318.99,0.05,12.20
319.62,-0.20,12.00
320.04,-0.11,11.89
321.37,-0.06,11.83
322.18,-0.02,11.81
323.05,-0.08,11.73
324.62,0.05,11.78
325.68,0.03,11.81
326.32,-0.08,11.73
327.46,0.01,11.74
329.68,0.16,11.90
330.19,-0.07,11.83
331.13,-0.01,11.82
332.03,-0.10,11.72
333.84,0.18,11.90
335.41,0.07,11.97
336.84,0.16,12.13
338.76,0.26,12.39
340.12,0.32,12.71
341.48,0.14,12.85
343.15,0.31,13.16
344.87,0.16,13.32
346.35,0.12,13.44
347.61,0.18,13.62
349.31,0.32,13.94
351.69,0.39,14.33
353.20,0.27,14.60
354.45,0.45,15.05
355.70,0.40,15.45
356.54,0.22,15.67
357.21,0.23,15.90
358.96,0.32,16.22
360.97,0.45,16.67
362.74,0.33,17.00
363.88,0.46,17.46
366.84,0.61,18.07
368.54,0.38,18.45
369.71,0.39,18.84
371.32,0.53,19.37
373.45,0.63,20.00
375.98,0.62,20.62
377.70,0.53,21.15
379.98,0.67,21.82
382.09,0.63,22.45
384.02,0.66,23.11
385.83,0.54,23.65
387.64,0.65,24.30
390.10,0.72,25.02
391.85,0.61,25.63
394.06,0.65,26.28
396.74,0.67,26.95
398.81,0.74,27.69
401.01,0.89,28.58
404.41,1.01,29.59
406.76,0.92,30.51
408.72,0.84,31.35
411.66,0.97,32.32
414.24,1.02,33.34
416.45,0.84,34.18
