Year,Degrees C,12
1958,0.06,12.06
1959,0.03,12.09
1960,-0.03,12.06
1961,0.06,12.12
1962,0.03,12.15
1963,0.05,12.20
1964,-0.20,12.00
1965,-0.11,11.89
1966,-0.06,11.83
1967,-0.02,11.81
1968,-0.08,11.73
1969,0.05,11.78
1970,0.03,11.81
1971,-0.08,11.73
1972,0.01,11.74
1973,0.16,11.90
1974,-0.07,11.83
1975,-0.01,11.82
1976,-0.10,11.72
1977,0.18,11.90
1978,0.07,11.97
1979,0.16,12.13
1980,0.26,12.39
1981,0.32,12.71
1982,0.14,12.85
1983,0.31,13.16
1984,0.16,13.32
1985,0.12,13.44
1986,0.18,13.62
1987,0.32,13.94
1988,0.39,14.33
1989,0.27,14.60
1990,0.45,15.05
1991,0.40,15.45
1992,0.22,15.67
1993,0.23,15.90
1994,0.32,16.22
1995,0.45,16.67
1996,0.33,17.00
1997,0.46,17.46
1998,0.61,18.07
1999,0.38,18.45
2000,0.39,18.84
2001,0.53,19.37
2002,0.63,20.00
2003,0.62,20.62
2004,0.53,21.15
2005,0.67,21.82
2006,0.63,22.45
2007,0.66,23.11
2008,0.54,23.65
2009,0.65,24.30
2010,0.72,25.02
2011,0.61,25.63
2012,0.65,26.28
2013,0.67,26.95
2014,0.74,27.69
2015,0.89,28.58
2016,1.01,29.59
2017,0.92,30.51
2018,0.84,31.35
2019,0.97,32.32
2020,1.02,33.34
2021,0.84,34.18
